w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
0,0,r,0,r,0,r,0,0,r,r,0,0,0,0,0,0,r,w
4,0,r,0,0,0,0,0,0,0,0,0,0,g,0,r,0,0,w
0,0,r,r,r,0,r,r,r,0,0,0,0,0,0,0,0,0,w
0,0,0,0,0,0,r,r,r,r,r,0,0,r,r,0,0,0,w
0,0,r,0,0,0,0,0,0,0,0,0,0,0,r,0,r,0,w
0,0,r,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,w
0,0,r,0,0,r,r,r,r,r,0,0,r,0,0,0,0,0,w
0,0,r,0,0,0,0,0,0,0,0,r,r,0,r,0,0,0,w
0,0,0,0,0,0,r,0,0,0,0,r,0,0,0,0,0,0,w
0,0,0,0,0,0,r,0,0,0,0,r,0,0,0,r,0,0,w
r,r,r,0,0,0,r,0,r,0,0,0,0,r,0,r,r,r,w
0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,r,0,0,w
0,0,0,0,r,0,0,0,r,0,0,r,r,r,r,r,r,0,w
0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,w
0,0,0,0,r,r,r,0,0,0,0,0,0,0,0,0,0,0,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
