0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,r,g,0,0,r,0,0,r,0,0,0,0,0,0,r,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,r,0,0,r,r,r,r,0,0,0,r,0,0,0,0,r,0,0,0,0,r,r,r,r,0,0
0,0,0,r,r,r,0,0,0,0,0,0,0,0,0,r,0,0,0,0,r,r,r,0,0,0,0,0,0,0,0
0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0
0,0,0,0,0,r,0,0,0,0,0,B,0,0,0,r,0,r,r,r,0,0,r,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,B,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,B,0,0,0,0,0,0,0,0,0,B,0,r,0,0,0,0,0,0,0,0,B,0,0,B,0,0,0,0,0
0,B,0,0,0,B,0,0,0,0,0,B,0,0,0,0,0,0,0,0,0,0,B,0,0,B,0,0,0,0,W
0,B,0,0,0,B,0,0,0,0,0,B,0,0,0,0,0,B,0,0,0,0,B,0,0,B,0,0,0,0,0
0,B,0,0,0,B,0,0,0,0,0,B,0,0,0,0,0,B,0,0,0,0,B,0,0,B,0,0,0,0,0
0,0,0,0,0,0,0,0,r,0,0,B,0,0,0,0,0,B,0,0,0,0,B,0,0,0,0,0,0,0,0
0,r,0,0,0,0,0,0,r,0,0,B,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,r,0,0,0,0,0,0,r,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,r,r,r,r,r,r,0,r,0,0,0,0,0,0,r,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,r,0,0,r,0,0,0,r,r,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,r,0,0,0,0,0,0,r,r,r,0,0,0,p,0,0
